id,product_name,product_category,price,currency,quantity
72,Wine - Zinfandel Rosenblum,Asphalt Paving,563,NZD,49
73,Sage Derby,Retaining Wall and Brick Pavers,40,JPY,13
74,"Soup - Knorr, French Onion",Construction Clean and Final Clean,964,IDR,20
75,"Beans - Black Bean, Canned",Granite Surfaces,73,EUR,18
76,Wine - White Cab Sauv.on,Masonry & Precast,337,LYD,31
77,Mahi Mahi,RF Shielding,655,CNY,80
78,"Dill - Primerba, Paste",Framing (Steel),371,PLN,67
79,Island Oasis - Ice Cream Mix,Drywall & Acoustical (FED),293,CNY,12
80,Food Colouring - Red,Overhead Doors,934,BRL,84
81,Bread Roll Foccacia,Structural and Misc Steel (Fabrication),710,TJS,24
82,Vegetable - Base,Framing (Steel),188,EUR,65
83,Sugar - Splenda Sweetener,Retaining Wall and Brick Pavers,967,PHP,90
84,Potatoes - Parissienne,RF Shielding,295,CNY,30
85,Wine - Merlot Vina Carmen,Elevator,876,PHP,6
86,"Wine - White, Colubia Cresh",Electrical,957,IDR,56
87,Kellogs Special K Cereal,Drilled Shafts,624,CNY,9
88,Corn - On The Cob,Site Furnishings,914,PEN,12
89,Wine - Jafflin Bourgongone,Termite Control,444,USD,100
90,"Asparagus - White, Fresh",Masonry & Precast,546,UAH,89
91,Bread Bowl Plain,Drywall & Acoustical (FED),115,EUR,17
92,Peach - Fresh,Waterproofing & Caulking,995,EUR,43
93,Cheese - Perron Cheddar,Marlite Panels (FED),349,CNY,84
94,Versatainer Nc - 888,Marlite Panels (FED),339,CRC,3
95,Lid - 0090 Clear,Retaining Wall and Brick Pavers,498,NOK,100
96,Dragon Fruit,Sitework & Site Utilities,634,SEK,42
97,Truffle Cups Green,Casework,966,CNY,4
98,Truffle Cups - Brown,Granite Surfaces,686,IDR,72
99,Bread Ww Cluster,Epoxy Flooring,408,ILS,89
100,Wine - Sake,Overhead Doors,105,USD,15
101,Extract - Rum,Masonry & Precast,894,CLP,97
102,"Bag - Bread, White, Plain",Exterior Signage,184,PLN,90
103,V8 Pet,Waterproofing & Caulking,94,TJS,78
104,"Coconut - Shredded, Unsweet",Elevator,577,COP,34
105,Raisin - Dark,Site Furnishings,743,PEN,29
106,"Juice - Grapefruit, 341 Ml",Rebar & Wire Mesh Install,526,USD,31
107,Beer - True North Lager,Retaining Wall and Brick Pavers,50,MAD,64
108,Bread - Corn Muffaletta,Termite Control,594,RUB,1
109,Shortbread - Cookie Crumbs,Drywall & Acoustical (MOB),23,PHP,18
110,Cinnamon - Stick,RF Shielding,648,AMD,17
111,Cake - Dulce De Leche,Ornamental Railings,983,EUR,63
112,Coriander - Seed,Prefabricated Aluminum Metal Canopies,778,CNY,26
113,"Nut - Peanut, Roasted",Overhead Doors,251,CNY,69
114,Sprouts - Corn,Drywall & Acoustical (FED),256,IDR,91
115,Trueblue - Blueberry Cranberry,Marlite Panels (FED),623,MYR,43
116,"Juice - Tomato, 10 Oz",Electrical and Fire Alarm,202,EUR,43
117,Spice - Montreal Steak Spice,Prefabricated Aluminum Metal Canopies,77,THB,30
118,Wine - Chateauneuf Du Pape,Epoxy Flooring,65,EUR,77
119,Pepper - Cayenne,Fire Sprinkler System,685,EUR,83
120,Beer - Steamwhistle,"Temp Fencing, Decorative Fencing and Gates",616,PLN,26
121,Wine - Rubyport,Masonry & Precast,898,CNY,39
122,"Syrup - Monin, Swiss Choclate",Fire Sprinkler System,354,BRL,14
123,Calypso - Pineapple Passion,Granite Surfaces,797,LTL,82
124,Straw - Regular,Termite Control,837,SEK,89
125,Cake - Cake Sheet Macaroon,RF Shielding,755,EUR,77
126,Cornflakes,"Temp Fencing, Decorative Fencing and Gates",589,BRL,76
127,Teriyaki Sauce,Granite Surfaces,496,CNY,94
128,Salt - Seasoned,HVAC,987,PHP,61
129,Eggs - Extra Large,"Temp Fencing, Decorative Fencing and Gates",243,CNY,39
130,Turnip - Wax,Drywall & Acoustical (FED),387,CZK,100
131,"Pepper - Chipotle, Canned",RF Shielding,169,BRL,53
132,Island Oasis - Pina Colada,Electrical and Fire Alarm,62,IDR,64
133,Buffalo - Tenderloin,Masonry & Precast,777,EUR,77
134,Beer - Upper Canada Light,"Doors, Frames & Hardware",543,USD,22
135,Raisin - Golden,Wall Protection,808,EUR,49
136,Wine - Chardonnay South,Roofing (Asphalt),694,EUR,72
137,Artichoke - Fresh,"Temp Fencing, Decorative Fencing and Gates",220,USD,55
138,Wine - Redchard Merritt,Fire Sprinkler System,954,NGN,91
139,Tray - 16in Rnd Blk,Hard Tile & Stone,31,RUB,18
140,Table Cloth 62x114 Colour,RF Shielding,308,USD,45
141,Ham - Cooked Bayonne Tinned,Drilled Shafts,320,HTG,11
142,Pork - Shoulder,Drywall & Acoustical (MOB),391,VND,68
143,Filling - Mince Meat,Construction Clean and Final Clean,906,PLN,23
144,"Yogurt - Raspberry, 175 Gr",Landscaping & Irrigation,132,USD,64
145,"Wine - Red, Concha Y Toro",Elevator,714,EGP,48
146,Almonds Ground Blanched,Casework,884,CNY,24
147,Cookie - Oreo 100x2,Marlite Panels (FED),728,XPF,97
148,Dehydrated Kelp Kombo,Prefabricated Aluminum Metal Canopies,30,PLN,98
149,"Fish - Scallops, Cold Smoked",Retaining Wall and Brick Pavers,263,COP,11
150,Pastry - Chocolate Chip Muffin,Prefabricated Aluminum Metal Canopies,861,IDR,79
151,Pastry - Chocolate Marble Tea,Electrical,187,IDR,48
152,"Cheese - Havarti, Roasted Garlic",Masonry & Precast,878,JPY,70
153,Trout Rainbow Whole,Sitework & Site Utilities,888,GTQ,4
154,Ham - Cooked Italian,Site Furnishings,11,PHP,84
155,"Soda Water - Club Soda, 355 Ml",Landscaping & Irrigation,767,USD,54
156,Wine - Semi Dry Riesling Vineland,Glass & Glazing,449,NOK,60
157,"Ecolab - Orange Frc, Cleaner",Retaining Wall and Brick Pavers,445,CNY,19
158,Stock - Fish,Electrical,448,AZN,57
159,V8 Pet,Masonry,84,BRL,44
160,Milk - 2% 250 Ml,Landscaping & Irrigation,723,EUR,26
161,Mikes Hard Lemonade,Masonry & Precast,259,SEK,81
162,Mushroom - Portebello,Structural and Misc Steel (Fabrication),978,MXN,93
163,Shrimp - Tiger 21/25,Marlite Panels (FED),471,ZMW,92
164,Pimento - Canned,Drywall & Acoustical (MOB),709,PHP,86
165,"Shrimp - 16 - 20 Cooked, Peeled",Exterior Signage,591,CZK,51
166,Grapes - Black,Drywall & Acoustical (MOB),754,BRL,64
167,Nantucket - Kiwi Berry Cktl.,Masonry,62,JOD,62
168,Tea - Camomele,Structural & Misc Steel Erection,798,RUB,9
169,Wine - Fontanafredda Barolo,Landscaping & Irrigation,145,CNY,80
170,Spinach - Spinach Leaf,Prefabricated Aluminum Metal Canopies,762,IDR,58
171,"Marjoram - Dried, Rubbed",Electrical and Fire Alarm,641,PHP,97
172,Bagel - Whole White Sesame,Masonry & Precast,962,PLN,33
173,Juice - Lagoon Mango,Roofing (Asphalt),362,PEN,12
174,"Rosemary - Primerba, Paste",Landscaping & Irrigation,767,CNY,56
175,Godiva White Chocolate,Rebar & Wire Mesh Install,427,CZK,27
176,Cinnamon - Stick,Rebar & Wire Mesh Install,535,IRR,4
177,Eggplant Oriental,Painting & Vinyl Wall Covering,217,KRW,7
178,"Wine - Saint - Bris 2002, Sauv",RF Shielding,484,GNF,92
179,Bread - 10 Grain Parisian,Overhead Doors,54,IDR,65
180,Beans - Green,Electrical,257,XAF,1
181,Wine - Black Tower Qr,Fire Sprinkler System,851,NAD,98
182,Syrup - Monin - Passion Fruit,Termite Control,519,CZK,57
183,Soup Campbells Mexicali Tortilla,Elevator,621,CZK,25
184,Currants,Elevator,72,RSD,100
185,Wine - Masi Valpolocell,Curb & Gutter,185,CNY,19
186,Kiwi,Ornamental Railings,417,KRW,61
187,Lid Tray - 12in Dome,Overhead Doors,200,NIO,20
188,Tamarind Paste,Roofing (Metal),643,PEN,90
189,Wine - Puligny Montrachet A.,Asphalt Paving,57,CNY,92
190,"Vodka - Hot, Lnferno",Drywall & Acoustical (FED),721,IDR,89
191,Squash - Pepper,Drilled Shafts,877,USD,8
192,Shrimp - Tiger 21/25,Framing (Steel),730,PKR,38
193,"Chicken - White Meat, No Tender",Retaining Wall and Brick Pavers,96,GHS,36
194,Cheese - Parmesan Cubes,Overhead Doors,401,RUB,69
195,Apple - Royal Gala,"Doors, Frames & Hardware",644,GBP,58
196,Tart - Raisin And Pecan,Granite Surfaces,895,CNY,76
197,Muffin - Carrot Individual Wrap,Wall Protection,920,JPY,77
198,Muffin - Blueberry Individual,Asphalt Paving,884,CNY,48
199,Pears - Fiorelle,Granite Surfaces,78,PLN,58
200,Bread - Bistro Sour,Marlite Panels (FED),803,USD,11
201,Soup Campbells - Tomato Bisque,Landscaping & Irrigation,184,XOF,74
202,"Stock - Chicken, White",Masonry & Precast,811,RUB,40
203,"Soup - Campbells, Minestrone",Masonry & Precast,152,IDR,3
204,Pastry - Chocolate Chip Muffin,Asphalt Paving,903,SEK,20
205,"Flour - Bran, Red",Masonry,126,IDR,63
206,Bread - Olive,Framing (Wood),19,CNY,74
207,"Iced Tea - Lemon, 340ml",Structural & Misc Steel Erection,281,CNY,27
208,Lamb - Whole Head Off,Termite Control,105,ARS,97
209,"Cake Circle, Paprus",Casework,586,CNY,49
210,Puree - Blackcurrant,"Temp Fencing, Decorative Fencing and Gates",439,NOK,29
211,Tea - Orange Pekoe,Framing (Steel),676,JPY,34
212,"Olives - Green, Pitted",Wall Protection,849,EUR,28
213,"Rum - Coconut, Malibu",Electrical,815,SEK,62
214,Bread - Calabrese Baguette,Sitework & Site Utilities,178,BRL,42
215,Tea - Herbal Orange Spice,Construction Clean and Final Clean,575,EGP,20
216,"Seedlings - Mix, Organic",Site Furnishings,285,NGN,17
217,Compound - Strawberry,Epoxy Flooring,568,CNY,22
218,Muffin Hinge - 211n,Electrical and Fire Alarm,175,XAF,75
219,Table Cloth 72x144 White,Roofing (Metal),251,CNY,57
220,"Roe - Lump Fish, Black",Ornamental Railings,208,PHP,79
221,Sole - Fillet,Framing (Wood),990,NPR,7
222,Tuna - Bluefin,Prefabricated Aluminum Metal Canopies,893,AZN,96
223,Veal - Sweetbread,Drywall & Acoustical (FED),346,PAB,25
224,Browning Caramel Glace,Retaining Wall and Brick Pavers,979,JPY,22
225,Cardamon Ground,"Temp Fencing, Decorative Fencing and Gates",732,UAH,100
226,"Chocolate - Pistoles, White","Doors, Frames & Hardware",915,CNY,82
227,Banana Turning,Elevator,573,BDT,88
228,Radish - Pickled,Exterior Signage,738,PHP,83
229,Garbage Bags - Clear,Drywall & Acoustical (FED),756,CNY,33
230,Trueblue - Blueberry,"Temp Fencing, Decorative Fencing and Gates",581,EUR,84
231,Straw - Regular,EIFS,13,ARS,82
232,Cheese - Parmesan Grated,Electrical and Fire Alarm,380,PHP,46
233,Bread - Pain Au Liat X12,Site Furnishings,582,IDR,18
234,Table Cloth - 53x69 Colour,Curb & Gutter,473,PLN,32
235,Wine - Pinot Noir Latour,Glass & Glazing,845,PAB,42
236,Milk - 2% 250 Ml,Plumbing & Medical Gas,887,XOF,22
237,Cabbage - Green,EIFS,708,RUB,41
238,"Turkey - Breast, Bone - In",Overhead Doors,899,EUR,97
239,Rhubarb,Drilled Shafts,425,MYR,71
240,Wine - Malbec Trapiche Reserve,Drywall & Acoustical (MOB),806,JPY,26
241,Beer - Mill St Organic,"Doors, Frames & Hardware",612,PKR,78
242,Cloves - Whole,Electrical,461,USD,59
243,Goat - Leg,Waterproofing & Caulking,636,MXN,98
244,Jagermeister,Electrical,845,IDR,38
245,"Potatoes - Yukon Gold, 80 Ct",Wall Protection,904,BWP,45
246,Beer - Labatt Blue,Granite Surfaces,869,EUR,10
247,Soup Knorr Chili With Beans,RF Shielding,949,PAB,98
248,"Vermouth - Sweet, Cinzano",Electrical,235,IDR,35
249,Pastry - Baked Scones - Mini,Masonry,972,RUB,43
250,Puree - Passion Fruit,Soft Flooring and Base,671,CNY,38
251,"Pepsi - Diet, 355 Ml",EIFS,630,VEF,19
252,"Flour - Bran, Red",Landscaping & Irrigation,69,USD,58
253,Cheese - Pont Couvert,"Temp Fencing, Decorative Fencing and Gates",741,YER,49
254,Beef - Striploin Aa,Elevator,841,PHP,52
255,"Salmon - Atlantic, No Skin",Granite Surfaces,691,MXN,61
256,Mountain Dew,Fire Protection,361,VEF,85
257,Wine - Sawmill Creek Autumn,Roofing (Asphalt),668,IDR,97
258,Pails With Lids,Granite Surfaces,786,CNY,88
259,Sugar - Cubes,Soft Flooring and Base,412,COP,45
260,Soup - French Can Pea,Construction Clean and Final Clean,275,EUR,34
261,Salt - Kosher,Framing (Steel),526,CNY,89
262,"Veal - Brisket, Provimi, Bone - In",Elevator,401,CNY,47
263,Soup - Boston Clam Chowder,Roofing (Metal),888,EUR,99
264,Longos - Chicken Caeser Salad,Soft Flooring and Base,503,CNY,34
265,Sugar - Invert,Granite Surfaces,45,XOF,40
266,Cookie Dough - Chunky,Fire Protection,984,BRL,69
267,Croissants Thaw And Serve,Hard Tile & Stone,167,SEK,77
268,Celery,Drywall & Acoustical (MOB),594,UAH,58
269,Flour - Masa De Harina Mexican,Sitework & Site Utilities,89,EUR,49
270,Sugar - Invert,HVAC,338,IDR,55
271,Pepper - Scotch Bonnet,Construction Clean and Final Clean,334,NOK,96
272,Calypso - Pineapple Passion,Plumbing & Medical Gas,905,CNY,86
273,Juice - Prune,Structural and Misc Steel (Fabrication),305,GBP,8
274,"Oregano - Dry, Rubbed",Granite Surfaces,974,CNY,76
275,Extract - Raspberry,Masonry & Precast,724,PHP,2
276,"Lid - 10,12,16 Oz",Waterproofing & Caulking,289,JPY,31
277,Food Colouring - Orange,Construction Clean and Final Clean,181,SEK,70
278,Compound - Mocha,Retaining Wall and Brick Pavers,955,NGN,46
279,Wine - Zinfandel Rosenblum,Curb & Gutter,875,CNY,42
280,Vinegar - White,Structural & Misc Steel Erection,73,CZK,70
281,Bamboo Shoots - Sliced,Structural and Misc Steel (Fabrication),500,UZS,82
282,Muffin Batt - Carrot Spice,Marlite Panels (FED),501,HTG,44
283,Appetizer - Cheese Bites,Elevator,49,KZT,68
284,Beer - Blue,Curb & Gutter,648,CNY,84
285,Island Oasis - Pina Colada,Electrical and Fire Alarm,976,KZT,71
286,Mushroom - Porcini Frozen,Overhead Doors,527,BRL,100
287,Beets - Golden,Masonry & Precast,489,IDR,22
288,"Lamb - Leg, Boneless",Granite Surfaces,413,PHP,70
289,Vinegar - White Wine,Drilled Shafts,63,CNY,28
290,"Wine - White, Ej",Waterproofing & Caulking,949,CNY,83
291,Broom - Angled,Structural and Misc Steel (Fabrication),86,EUR,8
292,Devonshire Cream,Masonry & Precast,343,PLN,21
293,Kumquat,Electrical and Fire Alarm,994,CNY,86
294,Wiberg Super Cure,Epoxy Flooring,605,BRL,37
295,Wine - Champagne Brut Veuve,Waterproofing & Caulking,938,JPY,33
296,"Rum - Coconut, Malibu",Retaining Wall and Brick Pavers,757,CNY,42
297,Crab - Meat Combo,Roofing (Metal),862,USD,45
298,Bar Mix - Lime,Drywall & Acoustical (FED),664,ARS,34
299,Beans - Wax,HVAC,156,EUR,89
300,Teriyaki Sauce,Fire Protection,514,CNY,59
301,Wine - Pinot Noir Pond Haddock,Sitework & Site Utilities,286,SEK,85
302,Aspic - Clear,Glass & Glazing,270,ARS,40
303,Mustard - Dijon,Drilled Shafts,326,CNY,12
304,Longos - Grilled Veg Sandwiches,Termite Control,259,SEK,68
305,"Pork - Sausage, Medium",Drywall & Acoustical (MOB),201,USD,6
306,"Yogurt - Raspberry, 175 Gr",Roofing (Metal),149,CNY,89
307,Liners - Baking Cups,Electrical and Fire Alarm,716,CNY,72
308,Mayonnaise,Fire Sprinkler System,492,CNY,1
309,Bread - Italian Roll With Herbs,Granite Surfaces,991,UAH,39
310,Wine - Clavet Saint Emilion,Framing (Steel),716,SEK,43
311,Basil - Pesto Sauce,Exterior Signage,467,RUB,62
312,Muskox - French Rack,Electrical and Fire Alarm,574,EUR,23
313,Cream - 10%,Fire Protection,522,USD,80
314,Salt - Kosher,Termite Control,864,NGN,16
315,Yokaline,Landscaping & Irrigation,473,RUB,56
316,Wine - Ruffino Chianti Classico,Structural and Misc Steel (Fabrication),141,IDR,25
317,Garbage Bags - Black,Structural and Misc Steel (Fabrication),140,CAD,45
318,Lettuce - Iceberg,Exterior Signage,975,HRK,19
319,"Dill - Primerba, Paste",HVAC,849,EUR,39
320,"Capon - Breast, Wing On",Fire Protection,677,EUR,64
321,Lettuce - Arugula,Sitework & Site Utilities,633,USD,94
322,Puree - Guava,Electrical,12,CRC,41
323,Sherbet - Raspberry,Hard Tile & Stone,591,COP,47
324,Vinegar - Sherry,Waterproofing & Caulking,774,NGN,9
325,"Wine - Red, Cabernet Sauvignon",Fire Protection,122,JPY,53
326,Potatoes - Peeled,"Doors, Frames & Hardware",971,SEK,38
327,Sauce Tomato Pouch,Electrical,549,KES,3
328,Capers - Ox Eye Daisy,Overhead Doors,883,CNY,23
329,Towel Dispenser,Site Furnishings,143,CZK,98
330,"Turkey - Whole, Fresh",Prefabricated Aluminum Metal Canopies,255,XAF,100
331,"Tomatoes - Vine Ripe, Yellow",Fire Protection,186,CNY,69
332,Wine - Hardys Bankside Shiraz,Structural and Misc Steel (Fabrication),51,RUB,84
333,Filter - Coffee,Prefabricated Aluminum Metal Canopies,406,IDR,2
334,"Red Snapper - Fresh, Whole",Elevator,396,CNY,41
335,Juice - Apple Cider,Soft Flooring and Base,533,XOF,76
336,Pepper - Sorrano,Framing (Steel),27,USD,92
337,Yucca,Landscaping & Irrigation,18,IDR,51
338,"Juice - Apple, 500 Ml",Framing (Wood),314,COP,6
339,Amarula Cream,Ornamental Railings,336,EUR,89
340,Beans - Fava Fresh,Termite Control,582,IDR,1
341,"Wine - White, Lindemans Bin 95",Termite Control,661,CNY,16
342,"Wine - White, Cooking",Fire Sprinkler System,254,ARS,25
343,Oneshot Automatic Soap System,Roofing (Metal),435,EUR,93
344,Crackers - Water,Epoxy Flooring,131,IDR,58
345,Aspic - Clear,Ornamental Railings,367,PLN,80
346,Cheese - Mozzarella,Structural & Misc Steel Erection,903,RUB,82
347,Bread - English Muffin,Retaining Wall and Brick Pavers,370,EUR,4
348,"Lemonade - Island Tea, 591 Ml",Wall Protection,678,PEN,3
349,"Turkey - Breast, Double",Structural and Misc Steel (Fabrication),643,SEK,35
350,Tobasco Sauce,Framing (Wood),247,BAM,33
351,Hog / Sausage Casing - Pork,Overhead Doors,116,RUB,40
352,Longos - Lasagna Veg,Fire Protection,859,CNY,16
353,Tea - Mint,Asphalt Paving,286,PEN,84
354,Bag Stand,Wall Protection,901,CNY,43
355,"Bread - Roll, Soft White Round",Exterior Signage,121,PHP,87
356,Cinnamon Rolls,Wall Protection,420,CNY,67
357,Broom - Corn,EIFS,445,IDR,92
358,"Vermouth - White, Cinzano",Framing (Steel),734,VND,35
359,Petite Baguette,Landscaping & Irrigation,158,RUB,29
360,"Wine - White, Concha Y Toro",EIFS,37,MXN,17
361,Jello - Assorted,RF Shielding,129,RUB,86
362,Table Cloth 53x53 White,Elevator,236,EUR,77
363,Snapple - Mango Maddness,Rebar & Wire Mesh Install,183,NZD,53
364,Wine - Dubouef Macon - Villages,Ornamental Railings,84,IDR,80
365,Bacardi Mojito,Framing (Steel),604,ZMW,5
366,Flax Seed,Marlite Panels (FED),599,RUB,87
367,Raisin - Dark,Granite Surfaces,514,RUB,73
368,Beer - Paulaner Hefeweisse,Ornamental Railings,107,EUR,23
369,Celery Root,Landscaping & Irrigation,241,EUR,85
370,Cake Slab,Masonry & Precast,979,PLN,75
371,"Soup - Cream Of Broccoli, Dry",Masonry & Precast,185,CNY,79
372,"Seedlings - Buckwheat, Organic",Termite Control,498,CZK,38
373,Chicken - Bones,Painting & Vinyl Wall Covering,546,EUR,97
374,Peppercorns - Pink,Drywall & Acoustical (MOB),49,IDR,36
375,Shrimp - 100 / 200 Cold Water,Glass & Glazing,758,EUR,100
376,Bread - English Muffin,Curb & Gutter,308,EUR,17
377,Wine - Pinot Noir Mondavi Coastal,Rebar & Wire Mesh Install,790,CAD,57
378,Nantucket Pine Orangebanana,Sitework & Site Utilities,134,IDR,97
379,Muffin - Mix - Strawberry Rhubarb,EIFS,792,EUR,46
380,"Beans - Turtle, Black, Dry",Overhead Doors,289,CNY,49
381,Egg Patty Fried,Granite Surfaces,533,COP,35
382,Cheese - Parmesan Grated,Masonry,478,USD,56
383,White Baguette,Masonry & Precast,402,COP,42
384,Compound - Pear,Roofing (Asphalt),619,BRL,93
385,Spice - Onion Powder Granulated,Drywall & Acoustical (FED),727,RUB,24
386,Wine - Carmenere Casillero Del,HVAC,239,ARS,9
387,Beef Cheek Fresh,Structural & Misc Steel Erection,499,CLP,8
388,Oven Mitts 17 Inch,Plumbing & Medical Gas,932,CNY,13
389,Wild Boar - Tenderloin,Wall Protection,308,MKD,10
390,Mahi Mahi,Glass & Glazing,108,RUB,61
391,Potatoes - Yukon Gold 5 Oz,Fire Protection,735,XAF,2
392,Pork - Liver,Retaining Wall and Brick Pavers,310,USD,100
393,Muffin Mix - Carrot,Plumbing & Medical Gas,39,ILS,21
394,Apple - Custard,"Doors, Frames & Hardware",271,UAH,32
395,Bread - French Baquette,Drywall & Acoustical (FED),173,CNY,29
396,Chips Potato All Dressed - 43g,"Doors, Frames & Hardware",45,PHP,72
397,Tea - Herbal Orange Spice,Overhead Doors,829,CNY,42
398,Wine - Red Oakridge Merlot,"Doors, Frames & Hardware",540,CNY,97
399,Bread - 10 Grain Parisian,Electrical,860,UAH,40
400,"Onions - Dried, Chopped",Structural & Misc Steel Erection,363,NAD,22
401,Peas - Frozen,Drywall & Acoustical (MOB),116,UAH,17
402,"Sauce - Apple, Unsweetened",Marlite Panels (FED),734,PHP,35
403,Macaroons - Two Bite Choc,Masonry,206,IDR,2
404,Bag Clear 10 Lb,Roofing (Asphalt),492,LAK,58
405,Extract - Almond,Ornamental Railings,258,GBP,14
406,Lettuce - Lolla Rosa,EIFS,319,XOF,88
407,Pastry - Chocolate Chip Muffin,Masonry,80,CNY,75
408,Wine - Valpolicella Masi,Roofing (Asphalt),825,EUR,15
409,Venison - Denver Leg Boneless,Painting & Vinyl Wall Covering,345,MKD,67
410,"Soup - Knorr, Veg / Beef",Termite Control,837,CZK,82
411,Cheese - Sheep Milk,Roofing (Metal),289,CNY,39
412,Beans - Fine,Masonry & Precast,214,PLN,8
413,Bar - Granola Trail Mix Fruit Nut,Overhead Doors,258,IDR,72
414,Bread - 10 Grain,Electrical and Fire Alarm,500,IDR,74
415,"Tomatoes - Diced, Canned",Structural and Misc Steel (Fabrication),156,EUR,85
416,Ecolab - Balanced Fusion,Drywall & Acoustical (FED),617,EUR,41
417,Olives - Morracan Dired,Drywall & Acoustical (MOB),965,EGP,13
418,Snapple - Iced Tea Peach,Painting & Vinyl Wall Covering,868,BYR,52
419,Pastry - Choclate Baked,Structural and Misc Steel (Fabrication),91,EUR,1
